Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
5330,5330,78.59313112705,42.56774072924,207259045646967424,1.4836,3.591,-1.131,-3.409,12.282841,0.002765,12.483084,0.002909,11.94146,0.003818,11.790835,0.044018,0.541624,0.200243,0.341381,,7753.8,636.5357,1.3567,5.517473,1.516,0.355,0.48171285,A      
105558,5558,79.64001842647,40.31854722311,188789243161360128,0.1489,0.937,0.492,-0.798,15.852989,0.002827,15.972404,0.00858,15.40414,0.006088,,,0.568264,0.119414,0.44885,,13252.7,4505.194,1.5548,67.99652,,,0.9333127,B      
53779,53779,297.5967688426,27.27024822136,2027941415269001984,1.3957,2.858,-1.284,-2.554,11.631057,0.002771,11.765583,0.002833,11.391094,0.003794,11.253107,0.013963,0.374489,0.134526,0.239963,,9018.3,701.6143,1.6422,16.123726,1.962,0.207,0.71381265,A      
151889,51889,39.23836257967,62.05037425729,465901941856056960,0.2047,0.519,-0.369,0.365,15.887654,0.002804,16.335443,0.011909,15.100863,0.008536,,,1.23458,0.447789,0.786791,,9782.9,4138.1343,2.8984,75.79211,2.666,0.381,0.4382544,B      
131194,31194,10.1147083397,56.09762881728,418513128138077312,0.3014,2.064,-1.388,-1.527,13.423436,0.002776,13.559017,0.002877,13.171889,0.003807,,,0.387128,0.135581,0.251547,,13206.4,4837.552,4.1397,192.98587,3.581,,0.54777324,B      
117031,17031,79.6993358658,44.53076415123,208451740884940800,0.2093,1.515,0.304,-1.484,15.195495,0.002782,15.447581,0.003559,14.772053,0.004152,,,0.675529,0.252087,0.423442,,9985.6,4011.4094,2.2873,48.289272,2.468,0.325,0.49638358,B      
29360,29360,104.09821476915,28.17025045152,887321452873729408,1.36,15.653,-1.024,-15.62,11.319276,0.002784,11.474465,0.002871,11.052691,0.003801,10.953445,0.009607,0.421774,0.15519,0.266584,,7639.0,702.8464,2.0388,12.962294,1.762,0.996,0.59669214,A      
160831,60831,29.48565542041,62.57388816248,508855080846377984,0.3397,1.28,-1.276,-0.111,11.937358,0.002762,12.329129,0.002827,11.359294,0.00379,,,0.969835,0.391771,0.578064,,16666.3,4251.8433,10.4612,3034.5261,6.687,,0.49156532,B      
129503,29503,21.90879184456,52.94683214628,407393045486124928,0.0116,0.914,-0.879,-0.252,15.388668,0.002786,15.543553,0.003227,15.101798,0.003976,,,0.441755,0.154885,0.28687,,16179.6,5359.7065,1.7426,201.79207,,,1.3137702,B      
41660,41660,329.61538408385,31.61704293202,1897968416293456640,5.1198,20.504,19.977,4.621,9.064417,0.002766,9.191728,0.00282,8.819333,0.003795,8.710399,0.006834,0.372395,0.127311,0.245084,,7551.9,196.7534,1.6224,7.5818844,1.597,0.738,0.5057008,A      
14043,14043,25.84337169907,54.33168453201,408891989074143104,1.2095,2.125,0.889,-1.931,11.2705,0.002817,11.394146,0.002831,11.04418,0.003803,10.95917,0.022643,0.349966,0.123646,0.22632,,7998.9,975.816,2.7757,18.635727,1.918,0.836,0.47330493,A      
116708,16708,80.06960565857,44.0024267174,207661088945347456,0.6863,3.367,1.747,-2.879,11.082891,0.002776,11.211435,0.00295,10.821763,0.003808,10.694098,0.008805,0.389672,0.128544,0.261128,,12514.7,1729.4467,4.4585,291.6619,3.743,,0.58297735,B      
71862,71862,347.55581268915,66.70911636102,2212083155887910528,0.3595,4.51,-3.861,-2.33,14.690362,0.002914,15.386251,0.004543,13.845956,0.004467,13.424868,0.103293,1.540296,0.69589,0.844406,,9239.5,2283.1821,3.5218,105.134796,2.827,0.395,0.40575683,A      
163151,63151,20.09739344688,60.57021027882,510456798714849664,0.515,2.396,-1.985,-1.341,11.81833,0.002761,11.981066,0.002829,11.520367,0.00379,,,0.460699,0.162736,0.297963,,11242.1,2149.2236,4.4838,201.73091,3.365,0.223,0.47061023,B      
112391,12391,75.09302764961,42.49106306635,202011557684934272,0.1836,0.518,0.517,0.026,15.170118,0.002771,15.456225,0.00355,14.707595,0.003977,,,0.748631,0.286107,0.462523,,9730.9,6768.527,4.1974,121.815094,2.944,0.339,0.42149594,B      
93325,93325,120.17900784234,4.73587113852,3095321121356139520,0.9112,5.357,-5.25,1.069,11.616843,0.00279,11.736755,0.003082,11.392387,0.003893,11.303437,0.010917,0.344368,0.119912,0.224456,,7488.2,1033.704,2.6044,21.543442,1.963,0.905,0.47791958,A      
57720,57720,307.40740022054,34.71063895479,2056156459850272000,0.9053,1.91,0.31,-1.884,11.746869,0.002884,12.194381,0.002862,11.08853,0.00379,10.804991,0.013958,1.105851,0.447512,0.65834,,6865.4,8266.328,39.5998,81.73624,2.51,0.559,0.2697088,A      
51357,51357,350.55963576712,57.84190302296,2009606543444619904,0.4005,2.566,-0.071,-2.565,14.713276,0.002795,15.416577,0.003623,13.882153,0.004075,13.522244,0.102329,1.534425,0.703301,0.831123,,7521.2,2503.5566,4.0915,46.594944,2.317,0.701,0.3914906,A      
80475,80475,100.81678747336,-15.98644693914,2947337331679438336,1.1908,3.119,-3.106,-0.285,10.420042,0.002786,10.531771,0.002848,10.210897,0.003793,10.102651,0.016286,0.320874,0.111729,0.209146,,8793.6,932.7759,3.7179,60.316948,2.486,0.522,0.43937683,A      
41973,41973,345.92558687661,35.77942094461,1915719967100435968,0.9921,4.408,4.406,0.141,12.315558,0.002762,12.480548,0.00282,12.032152,0.003809,11.916053,0.011862,0.448396,0.16499,0.283405,,7634.9,1138.4583,2.2134,11.410616,1.723,0.96,0.48802677,A      
178178,78178,146.96129011651,16.45882173996,620091435278404608,0.2051,4.118,1.747,-3.729,17.410475,0.002986,17.301016,0.010725,17.651083,0.020224,,,-0.350067,-0.109459,-0.240608,,16949.1,21589.252,1.5135,182.3526,,,1.4344461,B      
63489,63489,284.03781010329,45.44978582826,2106820276330930176,1.764,1.744,1.498,-0.894,10.602921,0.002776,10.774818,0.002982,10.30722,0.003841,10.202064,0.05441,0.467599,0.171898,0.295701,,7145.0,571.6973,2.5098,14.625415,1.779,1.246,0.46049824,A      
30633,30633,101.88829984361,40.90353452602,945473626434606976,1.9637,8.697,-3.094,-8.128,10.666334,0.002782,10.770517,0.002863,10.474853,0.003796,10.380245,0.008519,0.295665,0.104183,0.191482,,8022.8,458.4594,1.6811,18.202877,2.008,0.267,0.71946305,A      
24788,24788,14.58666238675,66.05262783527,525909506926008192,2.3567,2.73,2.73,-0.002,9.605688,0.00276,9.751992,0.002841,9.331637,0.003794,9.203137,0.005907,0.420355,0.146304,0.274051,,9323.0,424.8318,2.6269,47.48288,2.4,0.465,0.5153557,A      
129640,29640,27.36610471151,55.18584306296,408646660542693248,0.2909,0.943,-0.904,0.267,13.743524,0.002779,13.873169,0.004496,13.442938,0.004689,,,0.430231,0.129645,0.300586,,11439.8,6193.3066,5.0715,104.49985,3.0,,0.44906723,B      
58332,58332,299.88286834962,34.79139753321,2059312715374744576,1.3391,6.101,-0.42,-6.087,11.823669,0.002759,12.038286,0.002854,11.466854,0.003791,11.330739,0.011273,0.571432,0.214618,0.356814,,7360.2,726.8726,1.9948,10.519473,1.677,1.16,0.4741906,A      
165440,65440,27.73913517214,63.18098476449,511854415433138048,0.1916,1.392,-1.343,-0.365,16.773045,0.002795,17.293892,0.004963,16.080051,0.004413,,,1.213841,0.520847,0.692993,,9635.9,5588.7993,2.4778,48.271385,2.422,0.428,0.4655251,B      
174736,74736,13.93263396948,63.90119313875,524177432520247296,0.3244,2.762,-2.723,-0.462,14.274189,0.00278,14.696612,0.003187,13.665434,0.004008,,,1.031179,0.422423,0.608755,,12123.2,3016.0137,3.174,183.6828,3.389,,0.5514005,B      
118119,18119,51.91893615487,34.83472457364,221835095199019776,1.5373,2.396,-1.862,-1.508,10.182296,0.002773,10.260254,0.002831,10.018532,0.003807,,,0.241722,0.077958,0.163764,,9784.2,704.9691,2.7983,55.44613,2.51,0.383,0.5593562,B      
39037,39037,315.01234315963,25.27982012412,1844282665124774784,1.3532,5.199,4.602,-2.42,12.295239,0.002779,12.515191,0.002924,11.932881,0.003837,11.78867,0.021572,0.58231,0.219953,0.362357,,7452.8,765.7409,1.6957,7.5189185,1.586,0.839,0.551914,A      
42455,42455,341.53142578733,43.70303946931,1934164858773550976,1.5934,3.503,0.413,-3.478,11.168417,0.002778,11.2909,0.002855,10.945316,0.003796,10.841773,0.014767,0.345584,0.122483,0.223101,,8751.2,575.8918,1.66,16.729465,1.945,0.403,0.6309566,A      
